Name,Sex,Date,StateChange
Fiona,Female,6/12/21,4
Granny,Female,6/12/21,2
Grouch,Male,6/12/21,22
Hubert,Male,6/12/21,6
Marlo,Female,6/12/21,6
Satan,Male,6/12/21,3
Ziggy,Male,6/12/21,9
Alvin,Male,6/13/21,12
April,Female,6/13/21,4
Betty,Female,6/13/21,6
Bugs,Male,6/13/21,16
Carmen,Female,6/13/21,12
Chip,Male,6/13/21,16
Dale,Male,6/13/21,2
Dot,Female,6/13/21,4
Elsa,Female,6/13/21,6
Felix,Male,6/13/21,12
Fiona,Female,6/13/21,10
Granny,Female,6/13/21,4
Grouch,Male,6/13/21,6
Hubert,Male,6/13/21,12
Marlo,Female,6/13/21,4
Satan,Male,6/13/21,1
Ziggy,Male,6/13/21,9
Alvin,Male,6/14/21,8
April,Female,6/14/21,8
Betty,Female,6/14/21,22
Bugs,Male,6/14/21,10
Carmen,Female,6/14/21,2
Chip,Male,6/14/21,14
Dale,Male,6/14/21,2
Dot,Female,6/14/21,2
Elsa,Female,6/14/21,4
Felix,Male,6/14/21,2
Fiona,Female,6/14/21,2
Grouch,Male,6/14/21,10
Hubert,Male,6/14/21,6
Marlo,Female,6/14/21,4
Satan,Male,6/14/21,13
Ziggy,Male,6/14/21,7
Alvin,Male,6/15/21,4
April,Female,6/15/21,10
Betty,Female,6/15/21,12
Bugs,Male,6/15/21,8
Carmen,Female,6/15/21,6
Chip,Male,6/15/21,12
Dale,Male,6/15/21,2
Dot,Female,6/15/21,0
Elsa,Female,6/15/21,2
Felix,Male,6/15/21,8
Fiona,Female,6/15/21,8
Grouch,Male,6/15/21,4
Hubert,Male,6/15/21,2
Marlo,Female,6/15/21,4
Satan,Male,6/15/21,5
Ziggy,Male,6/15/21,8
Alvin,Male,6/16/21,11
April,Female,6/16/21,6
Betty,Female,6/16/21,30
Bugs,Male,6/16/21,8
Carmen,Female,6/16/21,10
Chip,Male,6/16/21,6
Dale,Male,6/16/21,4
Dot,Female,6/16/21,2
Elsa,Female,6/16/21,0
Felix,Male,6/16/21,10
Fiona,Female,6/16/21,10
Grouch,Male,6/16/21,6
Hubert,Male,6/16/21,4
Marlo,Female,6/16/21,6
Satan,Male,6/16/21,3
Ziggy,Male,6/16/21,11
Alvin,Male,6/17/21,10
April,Female,6/17/21,4
Betty,Female,6/17/21,16
Bugs,Male,6/17/21,8
Carmen,Female,6/17/21,12
Chip,Male,6/17/21,18
Dale,Male,6/17/21,2
Dot,Female,6/17/21,8
